Site identification,Camera set date-time,Camera check date-time,Lure type,Species common name,Count of individuals,Observation date-time
1,09/05/2014 8:35,23/05/2014 16:35,Anis Oil,Black-tailed Deer,1,23/05/2014 7:43
1,09/05/2014 8:35,23/05/2014 16:35,Anis Oil,Black-tailed Deer,1,14/05/2014 22:33
1,09/05/2014 8:35,23/05/2014 16:35,Anis Oil,Black-tailed Deer,1,16/05/2014 19:29
1,09/05/2014 8:35,23/05/2014 16:35,Anis Oil,Black-tailed Deer,2,17/05/2014 21:06
1,09/05/2014 8:35,23/05/2014 16:35,Anis Oil,Black-tailed Deer,2,19/05/2014 7:54
1,09/05/2014 8:35,23/05/2014 16:35,Anis Oil,Black-tailed Deer,1,23/05/2014 10:25
1,09/05/2014 8:35,23/05/2014 16:35,Anis Oil,Black-tailed Deer,1,11/05/2014 8:24
1,25/06/2014 15:45,09/07/2014 16:55,Fish Oil,Black-tailed Deer,2,26/06/2014 9:14
1,25/06/2014 15:45,09/07/2014 16:55,Fish Oil,Black-tailed Deer,2,30/06/2014 7:50
1,25/06/2014 15:45,09/07/2014 16:55,Fish Oil,Black-tailed Deer,2,02/07/2014 10:59
1,25/06/2014 15:45,09/07/2014 16:55,Fish Oil,Black-tailed Deer,2,04/07/2014 12:23
1,25/06/2014 15:45,09/07/2014 16:55,Fish Oil,Black-tailed Deer,1,06/07/2014 16:15
1,25/06/2014 15:45,09/07/2014 16:55,Fish Oil,Black-tailed Deer,2,07/07/2014 10:22
1,25/06/2014 15:45,09/07/2014 16:55,Fish Oil,Black-tailed Deer,2,09/07/2014 12:11
1,07/08/2014 8:20,20/08/2014 16:45,Control,Black-tailed Deer,1,07/08/2014 10:12
1,07/08/2014 8:20,20/08/2014 16:45,Control,Black-tailed Deer,1,15/08/2014 17:46
1,07/08/2014 8:20,20/08/2014 16:45,Control,Black-tailed Deer,1,07/08/2014 12:27
